combo,model,ms_per_sample,n_test,window
EEG+Gaze,XGBoost,0.0025,7537,2s
ECG+EDA+EEG,GB,0.0028,7537,2s
ECG+EDA+EEG,LGBM,0.1875,7537,2s
ECG+EDA+EEG,LDA,0.0001,7537,2s
ECG+EDA+EEG,LR,0.0001,7537,2s
ECG+EDA+EEG,MLP,0.0002,7537,2s
ECG+EDA+EEG,RF,0.0313,7537,2s
ECG+EDA+EEG,SVM,1.3253,7537,2s
ECG+EDA+EEG,XGBoost,0.0025,7537,2s
ECG+EDA+Gaze,GB,0.0026,7537,2s
ECG+EDA+Gaze,LGBM,0.1925,7537,2s
ECG+EDA+Gaze,LDA,0.0,7537,2s
ECG+EDA+Gaze,LR,0.0001,7537,2s
ECG+EDA+Gaze,MLP,0.0002,7537,2s
ECG+EDA+Gaze,RF,0.0255,7537,2s
ECG+EDA+Gaze,SVM,1.2955,7537,2s
ECG+EDA+Gaze,XGBoost,0.0025,7537,2s
ECG+EEG+Gaze,GB,0.0026,7537,2s
ECG+EEG+Gaze,LGBM,0.1807,7537,2s
ECG+EEG+Gaze,LDA,0.0001,7537,2s
ECG+EEG+Gaze,LR,0.0001,7537,2s
ECG+EEG+Gaze,MLP,0.0002,7537,2s
ECG+EEG+Gaze,RF,0.0314,7537,2s
ECG+EEG+Gaze,SVM,1.3521,7537,2s
ECG+EEG+Gaze,XGBoost,0.0025,7537,2s
EDA+EEG+Gaze,GB,0.0027,7537,2s
EDA+EEG+Gaze,LGBM,0.1843,7537,2s
EDA+EEG+Gaze,LDA,0.0001,7537,2s
EDA+EEG+Gaze,LR,0.0001,7537,2s
EDA+EEG+Gaze,MLP,0.0002,7537,2s
EDA+EEG+Gaze,RF,0.0296,7537,2s
EDA+EEG+Gaze,SVM,1.2555,7537,2s
EDA+EEG+Gaze,XGBoost,0.0025,7537,2s
All,GB,0.0027,7537,2s
All,LGBM,0.1856,7537,2s
All,LDA,0.0001,7537,2s
All,LR,0.0001,7537,2s
All,MLP,0.0002,7537,2s
All,RF,0.031,7537,2s
All,SVM,1.4377,7537,2s
All,XGBoost,0.0026,7537,2s
